Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Penalty_Won,Penalty_Commited,Penalty_Scored,Penalty_Missed,Penalty_Saved,player_photo,player_team_logo,player_league_name,league_strength,Weight_kg,Height_cm
10663,A. Aleksandrov,37.0,Bulgaria,False,CSKA 1948,Defender,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/10663.png,https://media-4.api-sports.io/football/teams/1426.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/10663.png,https://media-4.api-sports.io/football/teams/1426.png,First League,69.8,,
11072,D. Balinov,22.0,Bulgaria,False,Botev Plovdiv,Defender,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/11072.png,https://media-4.api-sports.io/football/teams/634.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/11072.png,https://media-4.api-sports.io/football/teams/634.png,First League,69.8,,
11117,L. Yordanov,23.0,Bulgaria,False,Cherno More Varna,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/11117.png,https://media-4.api-sports.io/football/teams/851.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/11117.png,https://media-4.api-sports.io/football/teams/851.png,First League,69.8,,
11245,F. Krastev,22.0,Bulgaria,False,Levski Sofia,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/11245.png,https://media-4.api-sports.io/football/teams/646.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/11245.png,https://media-4.api-sports.io/football/teams/646.png,First League,69.8,,178.0
11310,D. Kostadinov,24.0,Bulgaria,False,Levski Sofia,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/11310.png,https://media-4.api-sports.io/football/teams/646.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/11310.png,https://media-4.api-sports.io/football/teams/646.png,First League,69.8,,
60380,E. Sorga,24.0,Estonia,False,Lokomotiv Plovdiv,Attacker,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/60380.png,https://media-4.api-sports.io/football/teams/858.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/60380.png,https://media-4.api-sports.io/football/teams/858.png,First League,69.8,68.0,176.0
76581,Octávio,30.0,Brazil,False,CSKA 1948,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/76581.png,https://media-4.api-sports.io/football/teams/1426.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/76581.png,https://media-4.api-sports.io/football/teams/1426.png,First League,69.8,77.0,186.0
126728,P. Antonov,27.0,Bulgaria,False,CSKA 1948,Attacker,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/126728.png,https://media-4.api-sports.io/football/teams/1426.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/126728.png,https://media-4.api-sports.io/football/teams/1426.png,First League,69.8,,186.0
264853,P. Georgiev,22.0,Bulgaria,False,Cherno More Varna,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/264853.png,https://media-4.api-sports.io/football/teams/851.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/264853.png,https://media-4.api-sports.io/football/teams/851.png,First League,69.8,,
288298,P. Tsonchev,20.0,Bulgaria,False,Botev Plovdiv,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/288298.png,https://media-4.api-sports.io/football/teams/634.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/288298.png,https://media-4.api-sports.io/football/teams/634.png,First League,69.8,,
323716,I. Ivanov,19.0,Bulgaria,False,Botev Plovdiv,Defender,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/323716.png,https://media-4.api-sports.io/football/teams/634.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/323716.png,https://media-4.api-sports.io/football/teams/634.png,First League,69.8,,
323719,D. Gichev,19.0,Bulgaria,False,Botev Plovdiv,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/323719.png,https://media-4.api-sports.io/football/teams/634.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/323719.png,https://media-4.api-sports.io/football/teams/634.png,First League,69.8,,
323720,N. Gelin,19.0,Bulgaria,False,Botev Plovdiv,Attacker,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/323720.png,https://media-4.api-sports.io/football/teams/634.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/323720.png,https://media-4.api-sports.io/football/teams/634.png,First League,69.8,,
329552,S. Petkov,19.0,Bulgaria,False,Botev Plovdiv,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/329552.png,https://media-4.api-sports.io/football/teams/634.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/329552.png,https://media-4.api-sports.io/football/teams/634.png,First League,69.8,,
342309,B. Siderov,18.0,Bulgaria,False,Botev Plovdiv,Defender,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/342309.png,https://media-4.api-sports.io/football/teams/634.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/342309.png,https://media-4.api-sports.io/football/teams/634.png,First League,69.8,,
356761,Monir Al Badarin,18.0,Palestine,False,Botev Plovdiv,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/356761.png,https://media-4.api-sports.io/football/teams/634.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/356761.png,https://media-4.api-sports.io/football/teams/634.png,First League,69.8,,
361377,S. Traykov,18.0,Bulgaria,False,Slavia Sofia,Attacker,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/361377.png,https://media-4.api-sports.io/football/teams/854.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/361377.png,https://media-4.api-sports.io/football/teams/854.png,First League,69.8,,
375795,I. Valev,,Bulgaria,False,Hebar 1918,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/375795.png,https://media-4.api-sports.io/football/teams/4659.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/375795.png,https://media-4.api-sports.io/football/teams/4659.png,First League,69.8,,
393060,S. Petkov,21.0,Bulgaria,False,Arda Kardzhali,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/393060.png,https://media-4.api-sports.io/football/teams/1430.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/393060.png,https://media-4.api-sports.io/football/teams/1430.png,First League,69.8,,
405295,P. Ivanov,20.0,Bulgaria,False,Cherno More Varna,Defender,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/405295.png,https://media-4.api-sports.io/football/teams/851.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/405295.png,https://media-4.api-sports.io/football/teams/851.png,First League,69.8,,
10593,A. Georgiev,26.0,Bulgaria,False,Botev Vratsa,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/10593.png,https://media-4.api-sports.io/football/teams/859.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/10593.png,https://media-4.api-sports.io/football/teams/859.png,First League,69.8,,
