Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Penalty_Won,Penalty_Commited,Penalty_Scored,Penalty_Missed,Penalty_Saved,player_photo,player_team_logo,player_league_name,league_strength,Weight_kg,Height_cm
2455,F. Aristeguieta,31.0,Venezuela,False,Puebla,Attacker,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/2455.png,https://media-4.api-sports.io/football/teams/2291.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/2455.png,https://media-4.api-sports.io/football/teams/2291.png,Liga MX,80.0,82.0,187.0
2845,J. Campbell,31.0,Costa Rica,False,Leon,Attacker,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/2845.png,https://media-4.api-sports.io/football/teams/2289.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/2845.png,https://media-4.api-sports.io/football/teams/2289.png,Liga MX,80.0,71.0,178.0
6407,M. Castro,28.0,Uruguay,False,FC Juarez,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/6407.png,https://media-4.api-sports.io/football/teams/2298.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/6407.png,https://media-4.api-sports.io/football/teams/2298.png,Liga MX,80.0,72.0,172.0
24793,Jorge Meré,26.0,Spain,False,Club America,Defender,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/24793.png,https://media-4.api-sports.io/football/teams/2287.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/24793.png,https://media-4.api-sports.io/football/teams/2287.png,Liga MX,80.0,77.0,182.0
30927,S. Colombatto,26.0,Argentina,False,Leon,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/30927.png,https://media-4.api-sports.io/football/teams/2289.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/30927.png,https://media-4.api-sports.io/football/teams/2289.png,Liga MX,80.0,71.0,180.0
35840,C. Aboagye,28.0,Ghana,False,Club Queretaro,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/35840.png,https://media-4.api-sports.io/football/teams/2290.png,,0.0,0.0,0.0,False,,,,,,https://media-4.api-sports.io/football/players/35840.png,https://media-4.api-sports.io/football/teams/2290.png,Liga MX,80.0,55.0,167.0
36506,D. Andrade,30.0,Mexico,False,Santos Laguna,Defender,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/36506.png,https://media-4.api-sports.io/football/teams/2285.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/36506.png,https://media-4.api-sports.io/football/teams/2285.png,Liga MX,80.0,65.0,170.0
51614,J. Trindade,30.0,Uruguay,False,Pachuca,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/51614.png,https://media-4.api-sports.io/football/teams/2292.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/51614.png,https://media-4.api-sports.io/football/teams/2292.png,Liga MX,80.0,82.0,176.0
115605,J. Ibarra,25.0,Mexico,False,Leon,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/115605.png,https://media-4.api-sports.io/football/teams/2289.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/115605.png,https://media-4.api-sports.io/football/teams/2289.png,Liga MX,80.0,62.0,174.0
119191,J. González,25.0,Mexico,False,Guadalajara Chivas,Attacker,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/119191.png,https://media-4.api-sports.io/football/teams/2278.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/119191.png,https://media-4.api-sports.io/football/teams/2278.png,Liga MX,80.0,82.0,183.0
