Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Penalty_Won,Penalty_Commited,Penalty_Scored,Penalty_Missed,Penalty_Saved,player_photo,player_team_logo,player_league_name,league_strength,Weight_kg,Height_cm
54,Diego Costa,35,Spain,False,Wolves,Attacker,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/54.png,https://media-4.api-sports.io/football/teams/39.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/54.png,https://media-4.api-sports.io/football/teams/39.png,Premier League,93.8,83.0,188.0
178,Lucas Moura,31,Brazil,False,Tottenham,Attacker,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/178.png,https://media-4.api-sports.io/football/teams/47.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/178.png,https://media-4.api-sports.io/football/teams/47.png,Premier League,93.8,72.0,172.0
297,A. Oxlade-Chamberlain,30,England,False,Liverpool,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/297.png,https://media-4.api-sports.io/football/teams/40.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/297.png,https://media-4.api-sports.io/football/teams/40.png,Premier League,93.8,70.0,180.0
888,P. Jones,31,England,False,Manchester United,Defender,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/888.png,https://media-4.api-sports.io/football/teams/33.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/888.png,https://media-4.api-sports.io/football/teams/33.png,Premier League,93.8,71.0,180.0
900,J. Lingard,31,England,False,Nottingham Forest,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/900.png,https://media-4.api-sports.io/football/teams/65.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/900.png,https://media-4.api-sports.io/football/teams/65.png,Premier League,93.8,62.0,175.0
2473,M. Lanzini,30,Argentina,False,West Ham,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/2473.png,https://media-4.api-sports.io/football/teams/48.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/2473.png,https://media-4.api-sports.io/football/teams/48.png,Premier League,93.8,59.0,167.0
2677,João Moutinho,37,Portugal,False,Wolves,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/2677.png,https://media-4.api-sports.io/football/teams/39.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/2677.png,https://media-4.api-sports.io/football/teams/39.png,Premier League,93.8,61.0,170.0
18753,Adama Traoré,27,Spain,False,Wolves,Attacker,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/18753.png,https://media-4.api-sports.io/football/teams/39.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/18753.png,https://media-4.api-sports.io/football/teams/39.png,Premier League,93.8,86.0,178.0
18762,T. Davies,25,England,False,Everton,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/18762.png,https://media-4.api-sports.io/football/teams/45.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/18762.png,https://media-4.api-sports.io/football/teams/45.png,Premier League,93.8,70.0,180.0
18849,J. McArthur,36,Scotland,False,Crystal Palace,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/18849.png,https://media-4.api-sports.io/football/teams/52.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/18849.png,https://media-4.api-sports.io/football/teams/52.png,Premier League,93.8,75.0,178.0
18852,L. Milivojević,32,Serbia,False,Crystal Palace,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/18852.png,https://media-4.api-sports.io/football/teams/52.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/18852.png,https://media-4.api-sports.io/football/teams/52.png,Premier League,93.8,80.0,186.0
18854,A. Townsend,32,England,False,Everton,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/18854.png,https://media-4.api-sports.io/football/teams/45.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/18854.png,https://media-4.api-sports.io/football/teams/45.png,Premier League,93.8,77.0,181.0
18858,A. Begović,36,Bosnia and Herzegovina,False,Everton,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/18858.png,https://media-4.api-sports.io/football/teams/45.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/18858.png,https://media-4.api-sports.io/football/teams/45.png,Premier League,93.8,101.0,199.0
