Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Penalty_Won,Penalty_Commited,Penalty_Scored,Penalty_Missed,Penalty_Saved,player_photo,player_team_logo,player_league_name,Weight_kg,Height_cm,league_strength
278496,Vinicius Balieiro,24,Brazil,False,Santos,Midfielder,5.0,71.0,5.0,1.0,25.0,,,1.0,,1.0,2.0,2.0,2.0,1.0,2.0,7.0,11.0,,0.0,0.0,,https://media.api-sports.io/football/players/278496.png,https://media.api-sports.io/football/teams/128.png,6.450000,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/278496.png,https://media.api-sports.io/football/teams/128.png,Serie A,,,94
314305,Guilherme,19,Brazil,False,Cuiaba,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/314305.png,https://media.api-sports.io/football/teams/1193.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/314305.png,https://media.api-sports.io/football/teams/1193.png,Serie A,,,94
351506,Arthur Ribas,20,Brazil,False,Juventude,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/351506.png,https://media.api-sports.io/football/teams/152.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/351506.png,https://media.api-sports.io/football/teams/152.png,Serie A,84.0,190.0,94
351507,Nicolas Arno,19,Brazil,False,Juventude,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/351507.png,https://media.api-sports.io/football/teams/152.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/351507.png,https://media.api-sports.io/football/teams/152.png,Serie A,,,94
352966,Gabriel Santos,18,Brazil,False,Atletico Goianiense,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/352966.png,https://media.api-sports.io/football/teams/144.png,,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/352966.png,https://media.api-sports.io/football/teams/144.png,Serie A,,,94
363702,Ryan,17,Brazil,False,Cuiaba,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/363702.png,https://media.api-sports.io/football/teams/1193.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/363702.png,https://media.api-sports.io/football/teams/1193.png,Serie A,,,94
371640,Danilo Silva,20,Brazil,False,Goias,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/371640.png,https://media.api-sports.io/football/teams/151.png,,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/371640.png,https://media.api-sports.io/football/teams/151.png,Serie A,,,94
32,D. Godín,37,Uruguay,False,Atletico-MG,Defender,1.0,90.0,73.0,,80.0,,,,,,2.0,2.0,,2.0,2.0,7.0,15.0,,0.0,0.0,,https://media.api-sports.io/football/players/32.png,https://media.api-sports.io/football/teams/1062.png,6.200000,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/32.png,https://media.api-sports.io/football/teams/1062.png,Serie A,78.0,187.0,94
9310,Moraes,26,Brazil,False,Juventude,Defender,19.0,1364.0,21.0,10.0,465.0,7.0,14.0,35.0,,13.0,15.0,11.0,5.0,28.0,25.0,66.0,133.0,1.0,1.0,0.0,,https://media.api-sports.io/football/players/9310.png,https://media.api-sports.io/football/teams/152.png,6.741176,4.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/9310.png,https://media.api-sports.io/football/teams/152.png,Serie A,65.0,170.0,94
9374,Márcio Victor da Silva,23,Brazil,False,Goias,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/9374.png,https://media.api-sports.io/football/teams/151.png,,0.0,0.0,0.0,False,,,0.0,0.0,0.0,https://media.api-sports.io/football/players/9374.png,https://media.api-sports.io/football/teams/151.png,Serie A,,,94
