Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Penalty_Won,Penalty_Commited,Penalty_Scored,Penalty_Missed,Penalty_Saved,player_photo,player_team_logo,player_league_name,league_strength,Weight_kg,Height_cm
587,S. Giannikoglou,30,Greece,False,Panserraikos,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/587.png,https://media-4.api-sports.io/football/teams/2099.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/587.png,https://media-4.api-sports.io/football/teams/2099.png,Super League 1,80.7,85.0,187.0
26888,A. Papazoglou,35,Greece,False,Panserraikos,Defender,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/26888.png,https://media-4.api-sports.io/football/teams/2099.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/26888.png,https://media-4.api-sports.io/football/teams/2099.png,Super League 1,80.7,77.0,186.0
56455,H. Kanis,26,Morocco,False,Panserraikos,Attacker,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/56455.png,https://media-4.api-sports.io/football/teams/2099.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/56455.png,https://media-4.api-sports.io/football/teams/2099.png,Super League 1,80.7,,
77057,A. Šabanadžović,24,Bosnia and Herzegovina,False,AEK Athens FC,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/77057.png,https://media-4.api-sports.io/football/teams/575.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/77057.png,https://media-4.api-sports.io/football/teams/575.png,Super League 1,80.7,75.0,182.0
88776,A. Zeris,29,Greece,False,Panserraikos,Defender,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/88776.png,https://media-4.api-sports.io/football/teams/2099.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/88776.png,https://media-4.api-sports.io/football/teams/2099.png,Super League 1,80.7,,
119084,Ž. Laci,21,Slovenia,False,AEK Athens FC,Defender,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/119084.png,https://media-4.api-sports.io/football/teams/575.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/119084.png,https://media-4.api-sports.io/football/teams/575.png,Super League 1,80.7,78.0,189.0
135852,K. Panagiotou,26,Greece,False,Kifisia,Defender,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/135852.png,https://media-4.api-sports.io/football/teams/5050.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/135852.png,https://media-4.api-sports.io/football/teams/5050.png,Super League 1,80.7,,
161579,G. Koutsias,19,Greece,False,PAOK,Attacker,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/161579.png,https://media-4.api-sports.io/football/teams/619.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/161579.png,https://media-4.api-sports.io/football/teams/619.png,Super League 1,80.7,74.0,180.0
162235,A. Dajko,21,Albania,False,AEK Athens FC,Defender,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/162235.png,https://media-4.api-sports.io/football/teams/575.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/162235.png,https://media-4.api-sports.io/football/teams/575.png,Super League 1,80.7,,188.0
162775,C. Voutsas,22,Greece,False,Panathinaikos,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/162775.png,https://media-4.api-sports.io/football/teams/617.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/162775.png,https://media-4.api-sports.io/football/teams/617.png,Super League 1,80.7,,174.0
