Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Penalty_Won,Penalty_Commited,Penalty_Scored,Penalty_Missed,Penalty_Saved,player_photo,player_team_logo,player_league_name,league_strength,Weight_kg,Height_cm
41342,Derley,36,Brazil,False,Lamphun Warrior,Attacker,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/41342.png,https://media-4.api-sports.io/football/teams/6572.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/41342.png,https://media-4.api-sports.io/football/teams/6572.png,Thai League 1,56.8,78.0,183.0
48043,A. Sanjairag,21,Thailand,False,Chonburi FC,Defender,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/48043.png,https://media-4.api-sports.io/football/teams/2772.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/48043.png,https://media-4.api-sports.io/football/teams/2772.png,Thai League 1,56.8,83.0,187.0
49182,R. Wiroonsri,31,Thailand,False,Police Tero,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/49182.png,https://media-4.api-sports.io/football/teams/2775.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/49182.png,https://media-4.api-sports.io/football/teams/2775.png,Thai League 1,56.8,75.0,174.0
49252,N. Sombatyotha,27,Thailand,False,Port FC,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/49252.png,https://media-4.api-sports.io/football/teams/2789.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/49252.png,https://media-4.api-sports.io/football/teams/2789.png,Thai League 1,56.8,65.0,175.0
49282,T. Banhan,29,Thailand,False,Prachuap,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/49282.png,https://media-4.api-sports.io/football/teams/2791.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/49282.png,https://media-4.api-sports.io/football/teams/2791.png,Thai League 1,56.8,70.0,168.0
49306,S. Miprathang,27,Thailand,False,Ratchaburi,Defender,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/49306.png,https://media-4.api-sports.io/football/teams/2776.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/49306.png,https://media-4.api-sports.io/football/teams/2776.png,Thai League 1,56.8,69.0,175.0
49346,C. Poomkaew,25,Thailand,False,Chiangrai United,Midfielder,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/49346.png,https://media-4.api-sports.io/football/teams/2771.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/49346.png,https://media-4.api-sports.io/football/teams/2771.png,Thai League 1,56.8,65.0,165.0
49364,S. Peenagatapho,28,Thailand,False,Muangthong United,Defender,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/49364.png,https://media-4.api-sports.io/football/teams/2786.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/49364.png,https://media-4.api-sports.io/football/teams/2786.png,Thai League 1,56.8,71.0,175.0
49388,Heberty,35,Brazil,False,Bangkok United,Attacker,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/49388.png,https://media-4.api-sports.io/football/teams/2770.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/49388.png,https://media-4.api-sports.io/football/teams/2770.png,Thai League 1,56.8,75.0,172.0
60210,Thitawee Auksornsri,26,Thailand,False,Port FC,Defender,,,,,,,,,,,,,,,,,,,,,,https://media-4.api-sports.io/football/players/60210.png,https://media-4.api-sports.io/football/teams/2789.png,,,,,False,,,,,,https://media-4.api-sports.io/football/players/60210.png,https://media-4.api-sports.io/football/teams/2789.png,Thai League 1,56.8,75.0,180.0
