Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Weight_kg,Height_cm
374630,D. Yordanov,18.0,Bulgaria,False,Beroe,Attacker,4.0,116.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/374630.png,https://media-4.api-sports.io/football/teams/857.png,,0.0,0.0,0.0,False,,
2155,E. Manu,30.0,Netherlands,False,Botev Plovdiv,Attacker,2.0,73.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/2155.png,https://media-4.api-sports.io/football/teams/634.png,,0.0,0.0,0.0,False,64.0,173.0
3314,Show,24.0,Angola,False,Ludogorets,Midfielder,1.0,17.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/3314.png,https://media-4.api-sports.io/football/teams/566.png,,0.0,0.0,0.0,False,75.0,180.0
14274,R. Punčec,32.0,Croatia,False,Botev Plovdiv,Defender,4.0,316.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/14274.png,https://media-4.api-sports.io/football/teams/634.png,,1.0,0.0,0.0,False,80.0,186.0
48667,G. Pepsi,25.0,Switzerland,False,Pirin Blagoevgrad,Midfielder,2.0,161.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/48667.png,https://media-4.api-sports.io/football/teams/1428.png,,0.0,0.0,0.0,False,78.0,180.0
57739,J. Córdoba,22.0,Panama,False,Levski Sofia,Defender,12.0,1080.0,77.0,,250.0,2.0,7.0,4.0,,3.0,1.0,10.0,0.0,1.0,0.0,26.0,54.0,0.0,0.0,0.0,,https://media-4.api-sports.io/football/players/57739.png,https://media-4.api-sports.io/football/teams/646.png,7.433333,2.0,0.0,0.0,False,78.0,187.0
71146,Jon Bakero,27.0,Spain,False,Slavia Sofia,Midfielder,7.0,539.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/71146.png,https://media-4.api-sports.io/football/teams/854.png,,1.0,0.0,0.0,False,82.0,188.0
137056,D. Angelov,22.0,Bulgaria,False,Etar Veliko Tarnovo,Attacker,4.0,118.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/137056.png,https://media-4.api-sports.io/football/teams/855.png,,0.0,0.0,0.0,False,,
269188,D. Hristov,21.0,Bulgaria,False,Ludogorets,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/269188.png,https://media-4.api-sports.io/football/teams/566.png,,0.0,0.0,0.0,False,,
315881,A. Mitkov,18.0,Bulgaria,False,Levski Sofia,Midfielder,11.0,741.0,41.0,2.0,135.0,2.0,4.0,6.0,,4.0,5.0,2.0,1.0,,4.0,19.0,42.0,0.0,2.0,0.0,,https://media-4.api-sports.io/football/players/315881.png,https://media-4.api-sports.io/football/teams/646.png,7.566666,3.0,0.0,0.0,False,,
