Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Penalty_Won,Penalty_Commited,Penalty_Scored,Penalty_Missed,Penalty_Saved,player_photo,player_team_logo,player_league_name,Weight_kg,Height_cm
701,Júnior Moraes,36,Ukraine,False,Corinthians,Attacker,1.0,0.0,,,,,,,,,1.0,,,,1.0,2.0,3.0,,0.0,0.0,,https://media.api-sports.io/football/players/701.png,https://media.api-sports.io/football/teams/131.png,,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/701.png,https://media.api-sports.io/football/teams/131.png,Serie A,70.0,176.0
9937,Ricardo Goulart,32,Brazil,False,Bahia,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/9937.png,https://media.api-sports.io/football/teams/118.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/9937.png,https://media.api-sports.io/football/teams/118.png,Serie A,80.0,181.0
133182,Vitor Mendes,24,Brazil,False,Fluminense,Defender,2.0,107.0,,1.0,61.0,1.0,1.0,,,,,1.0,1.0,1.0,,6.0,9.0,,0.0,0.0,,https://media.api-sports.io/football/players/133182.png,https://media.api-sports.io/football/teams/124.png,6.950000,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/133182.png,https://media.api-sports.io/football/teams/124.png,Serie A,75.0,186.0
197527,Kennedy,24,Brazil,False,Fortaleza EC,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/197527.png,https://media.api-sports.io/football/teams/154.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/197527.png,https://media.api-sports.io/football/teams/154.png,Serie A,,
10050,J. Carli,37,Argentina,False,Botafogo,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/10050.png,https://media.api-sports.io/football/teams/120.png,,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/10050.png,https://media.api-sports.io/football/teams/120.png,Serie A,89.0,191.0
9876,Fábio Santos,38,Brazil,False,Corinthians,Defender,25.0,1676.0,,8.0,867.0,4.0,5.0,3.0,,2.0,23.0,21.0,11.0,15.0,23.0,71.0,127.0,1.0,4.0,0.0,,https://media.api-sports.io/football/players/9876.png,https://media.api-sports.io/football/teams/131.png,6.742857,7.0,0.0,0.0,False,,,4.0,1.0,,https://media.api-sports.io/football/players/9876.png,https://media.api-sports.io/football/teams/131.png,Serie A,76.0,179.0
34,Filipe Luís,38,Brazil,False,Flamengo,Defender,10.0,526.0,,3.0,334.0,1.0,1.0,4.0,,3.0,8.0,5.0,3.0,11.0,18.0,33.0,48.0,1.0,0.0,0.0,,https://media.api-sports.io/football/players/34.png,https://media.api-sports.io/football/teams/127.png,7.088888,3.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/34.png,https://media.api-sports.io/football/teams/127.png,Serie A,77.0,181.0
577,A. Samaris,34,Greece,False,Coritiba,Midfielder,4.0,187.0,,1.0,90.0,1.0,1.0,,,,2.0,6.0,,4.0,4.0,7.0,17.0,,0.0,0.0,,https://media.api-sports.io/football/players/577.png,https://media.api-sports.io/football/teams/147.png,6.475000,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/577.png,https://media.api-sports.io/football/teams/147.png,Serie A,83.0,189.0
1585,Jesé,30,Spain,False,Coritiba,Attacker,6.0,90.0,,2.0,32.0,2.0,4.0,4.0,,1.0,,,,,,2.0,10.0,,1.0,0.0,,https://media.api-sports.io/football/players/1585.png,https://media.api-sports.io/football/teams/147.png,6.600000,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/1585.png,https://media.api-sports.io/football/teams/147.png,Serie A,72.0,178.0
9863,Réver,38,Brazil,False,Atletico-MG,Defender,9.0,109.0,,,53.0,,,,,,2.0,1.0,2.0,1.0,,5.0,8.0,,0.0,0.0,,https://media.api-sports.io/football/players/9863.png,https://media.api-sports.io/football/teams/1062.png,6.575000,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/9863.png,https://media.api-sports.io/football/teams/1062.png,Serie A,85.0,192.0
9948,Bruno Peres,33,Brazil,False,Atletico Paranaense,Defender,5.0,154.0,,1.0,70.0,,1.0,,,,1.0,4.0,1.0,,3.0,5.0,11.0,,0.0,0.0,,https://media.api-sports.io/football/players/9948.png,https://media.api-sports.io/football/teams/134.png,6.560000,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/9948.png,https://media.api-sports.io/football/teams/134.png,Serie A,72.0,178.0
