Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Penalty_Won,Penalty_Commited,Penalty_Scored,Penalty_Missed,Penalty_Saved,player_photo,player_team_logo,player_league_name,Weight_kg,Height_cm
5795,M. Klimowicz,24,Germany,False,VfB Stuttgart,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/5795.png,https://media.api-sports.io/football/teams/172.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/5795.png,https://media.api-sports.io/football/teams/172.png,Bundesliga,75.0,179.0
453965,M. Cisse,29,France,False,VfB Stuttgart,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/453965.png,https://media.api-sports.io/football/teams/172.png,,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/453965.png,https://media.api-sports.io/football/teams/172.png,Bundesliga,,
853,L. Bonucci,37,Italy,False,Union Berlin,Defender,7.0,463.0,,2.0,237.0,1.0,1.0,2.0,,1.0,1.0,2.0,3.0,7.0,6.0,13.0,23.0,,1.0,0.0,,https://media.api-sports.io/football/players/853.png,https://media.api-sports.io/football/teams/182.png,6.528571,0.0,0.0,0.0,False,,,1.0,0.0,,https://media.api-sports.io/football/players/853.png,https://media.api-sports.io/football/teams/182.png,Bundesliga,85.0,190.0
1819,M. Hasebe,40,Japan,False,Eintracht Frankfurt,Defender,8.0,213.0,,,188.0,,,,,,3.0,4.0,1.0,2.0,4.0,11.0,22.0,0.0,0.0,0.0,,https://media.api-sports.io/football/players/1819.png,https://media.api-sports.io/football/teams/169.png,6.580000,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/1819.png,https://media.api-sports.io/football/teams/169.png,Bundesliga,72.0,180.0
25410,J. Guilavogui,34,France,False,FSV Mainz 05,Midfielder,11.0,406.0,,1.0,179.0,,,,,,2.0,5.0,7.0,13.0,14.0,23.0,36.0,1.0,0.0,0.0,,https://media.api-sports.io/football/players/25410.png,https://media.api-sports.io/football/teams/164.png,6.840000,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/25410.png,https://media.api-sports.io/football/teams/164.png,Bundesliga,77.0,188.0
25630,T. Jantschke,34,Germany,False,Borussia Mönchengladbach,Defender,4.0,25.0,,,12.0,,,,,,2.0,1.0,2.0,1.0,1.0,5.0,9.0,,0.0,0.0,,https://media.api-sports.io/football/players/25630.png,https://media.api-sports.io/football/teams/163.png,6.725000,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/25630.png,https://media.api-sports.io/football/teams/163.png,Bundesliga,76.0,177.0
25644,P. Herrmann,33,Germany,False,Borussia Mönchengladbach,Attacker,8.0,78.0,,3.0,39.0,,3.0,,,,2.0,3.0,,1.0,4.0,7.0,12.0,0.0,0.0,0.0,,https://media.api-sports.io/football/players/25644.png,https://media.api-sports.io/football/teams/163.png,6.785714,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/25644.png,https://media.api-sports.io/football/teams/163.png,Bundesliga,71.0,179.0
88033,C. Groß,35,Germany,False,Werder Bremen,Defender,20.0,792.0,,8.0,487.0,1.0,3.0,3.0,,2.0,5.0,15.0,6.0,13.0,21.0,44.0,103.0,1.0,0.0,0.0,,https://media.api-sports.io/football/players/88033.png,https://media.api-sports.io/football/teams/162.png,6.605263,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/88033.png,https://media.api-sports.io/football/teams/162.png,Bundesliga,75.0,182.0
2192,T. Koubek,32,Czechia,False,FC Augsburg,Goalkeeper,3.0,270.0,,,92.0,,,,,,,,,,,1.0,1.0,0.0,0.0,8.0,17.0,https://media.api-sports.io/football/players/2192.png,https://media.api-sports.io/football/teams/170.png,7.400000,0.0,0.0,0.0,False,,,0.0,0.0,1.0,https://media.api-sports.io/football/players/2192.png,https://media.api-sports.io/football/teams/170.png,Bundesliga,98.0,197.0
202973,E. Qenaj,21,Kosovo,False,1. FC Heidenheim,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/202973.png,https://media.api-sports.io/football/teams/180.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/202973.png,https://media.api-sports.io/football/teams/180.png,Bundesliga,95.0,198.0
275,E. Choupo-Moting,35,Cameroon,False,Bayern München,Attacker,27.0,703.0,,17.0,271.0,12.0,22.0,37.0,,24.0,7.0,10.0,,7.0,17.0,62.0,120.0,2.0,2.0,0.0,,https://media.api-sports.io/football/players/275.png,https://media.api-sports.io/football/teams/157.png,6.817391,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/275.png,https://media.api-sports.io/football/teams/157.png,Bundesliga,90.0,191.0
1822,S. Rode,34,Germany,False,Eintracht Frankfurt,Midfielder,8.0,55.0,,1.0,55.0,,,,,,1.0,,,1.0,6.0,9.0,14.0,0.0,0.0,0.0,,https://media.api-sports.io/football/players/1822.png,https://media.api-sports.io/football/teams/169.png,6.620000,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/1822.png,https://media.api-sports.io/football/teams/169.png,Bundesliga,71.0,180.0
1915,B. Sarr,32,Senegal,False,Bayern München,Defender,2.0,105.0,40.0,,92.0,1.0,1.0,3.0,,1.0,1.0,,,,2.0,5.0,8.0,,0.0,0.0,,https://media.api-sports.io/football/players/1915.png,https://media.api-sports.io/football/teams/157.png,6.550000,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/1915.png,https://media.api-sports.io/football/teams/157.png,Bundesliga,69.0,177.0
