Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Penalty_Won,Penalty_Commited,Penalty_Scored,Penalty_Missed,Penalty_Saved,player_photo,player_team_logo,player_league_name,Weight_kg,Height_cm
47056,Íñigo Eguaras,31,Spain,False,Almeria,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/47056.png,https://media.api-sports.io/football/teams/723.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/47056.png,https://media.api-sports.io/football/teams/723.png,La Liga,77.0,181.0
47327,Diego López,42,Spain,False,Rayo Vallecano,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/47327.png,https://media.api-sports.io/football/teams/728.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/47327.png,https://media.api-sports.io/football/teams/728.png,La Liga,89.0,196.0
6048,B. Cufré,28,Argentina,False,Mallorca,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/6048.png,https://media.api-sports.io/football/teams/798.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/6048.png,https://media.api-sports.io/football/teams/798.png,La Liga,82.0,179.0
451311,Rayane Belaid,19,Spain,False,Atletico Madrid,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/451311.png,https://media.api-sports.io/football/teams/530.png,,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/451311.png,https://media.api-sports.io/football/teams/530.png,La Liga,63.0,174.0
614,C. Bravo,41,Chile,False,Real Betis,Goalkeeper,7.0,630.0,,1.0,199.0,,,,,,1.0,,,,,3.0,4.0,,0.0,5.0,16.0,https://media.api-sports.io/football/players/614.png,https://media.api-sports.io/football/teams/543.png,7.100000,0.0,0.0,0.0,False,,,0.0,0.0,0.0,https://media.api-sports.io/football/players/614.png,https://media.api-sports.io/football/teams/543.png,La Liga,84.0,184.0
760,M. Díaz,31,Dominican Republic,False,Sevilla,Attacker,9.0,239.0,,2.0,51.0,2.0,13.0,2.0,,1.0,1.0,8.0,,,1.0,12.0,36.0,0.0,0.0,0.0,,https://media.api-sports.io/football/players/760.png,https://media.api-sports.io/football/teams/536.png,6.700000,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/760.png,https://media.api-sports.io/football/teams/536.png,La Liga,76.0,180.0
1450,S. Papastathopoulos,36,Greece,False,Real Betis,Defender,15.0,1134.0,,1.0,573.0,1.0,2.0,,,,6.0,13.0,9.0,6.0,21.0,52.0,87.0,0.0,0.0,0.0,,https://media.api-sports.io/football/players/1450.png,https://media.api-sports.io/football/teams/543.png,6.806666,6.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/1450.png,https://media.api-sports.io/football/teams/543.png,La Liga,85.0,186.0
47282,Raúl García,38,Spain,False,Athletic Club,Midfielder,20.0,402.0,,,130.0,1.0,6.0,5.0,,2.0,10.0,20.0,1.0,3.0,9.0,48.0,99.0,0.0,1.0,0.0,,https://media.api-sports.io/football/players/47282.png,https://media.api-sports.io/football/teams/531.png,6.530000,4.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/47282.png,https://media.api-sports.io/football/teams/531.png,La Liga,83.0,184.0
738,Sergio Ramos,38,Spain,False,Sevilla,Defender,28.0,2518.0,48.0,4.0,1516.0,11.0,22.0,9.0,,6.0,22.0,27.0,30.0,41.0,45.0,154.0,239.0,0.0,3.0,0.0,,https://media.api-sports.io/football/players/738.png,https://media.api-sports.io/football/teams/536.png,7.307142,7.0,1.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/738.png,https://media.api-sports.io/football/teams/536.png,La Liga,82.0,184.0
752,T. Kroos,34,Germany,False,Real Madrid,Midfielder,33.0,2129.0,67.0,63.0,2369.0,13.0,25.0,8.0,,5.0,38.0,17.0,4.0,17.0,53.0,104.0,168.0,8.0,1.0,0.0,,https://media.api-sports.io/football/players/752.png,https://media.api-sports.io/football/teams/541.png,7.639393,3.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/752.png,https://media.api-sports.io/football/teams/541.png,La Liga,76.0,183.0
