Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Penalty_Won,Penalty_Commited,Penalty_Scored,Penalty_Missed,Penalty_Saved,player_photo,player_team_logo,player_league_name,Weight_kg,Height_cm
20625,V. Le Goff,35,France,False,Lorient,Defender,9.0,545.0,,9.0,268.0,1.0,4.0,4.0,,4.0,5.0,3.0,3.0,3.0,5.0,16.0,27.0,1.0,1.0,0.0,,https://media.api-sports.io/football/players/20625.png,https://media.api-sports.io/football/teams/97.png,6.888888,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/20625.png,https://media.api-sports.io/football/teams/97.png,Ligue 1,69.0,177.0
22259,S. Prcić,31,Bosnia and Herzegovina,False,Strasbourg,Midfielder,3.0,87.0,,3.0,46.0,,1.0,,,,1.0,,1.0,3.0,,1.0,2.0,,0.0,0.0,,https://media.api-sports.io/football/players/22259.png,https://media.api-sports.io/football/teams/95.png,7.000000,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/22259.png,https://media.api-sports.io/football/teams/95.png,Ligue 1,75.0,181.0
128988,N. Jaby,23,France,False,Clermont Foot,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/128988.png,https://media.api-sports.io/football/teams/99.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/128988.png,https://media.api-sports.io/football/teams/99.png,Ligue 1,68.0,175.0
354861,J. N&apos;Duquidi,20,France,False,Metz,Midfielder,8.0,553.0,,1.0,145.0,,2.0,3.0,,1.0,10.0,5.0,3.0,10.0,7.0,22.0,45.0,,0.0,0.0,,https://media.api-sports.io/football/players/354861.png,https://media.api-sports.io/football/teams/112.png,6.637500,2.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/354861.png,https://media.api-sports.io/football/teams/112.png,Ligue 1,74.0,187.0
263,L. Kurzawa,32,France,False,Paris Saint Germain,Defender,1.0,8.0,,,12.0,,,1.0,,,,,,,,,1.0,,0.0,0.0,,https://media.api-sports.io/football/players/263.png,https://media.api-sports.io/football/teams/85.png,6.300000,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/263.png,https://media.api-sports.io/football/teams/85.png,Ligue 1,74.0,182.0
731,K. Navas,38,Costa Rica,False,Paris Saint Germain,Goalkeeper,4.0,360.0,,,86.0,,,,,,,,,,,,,0.0,0.0,6.0,6.0,https://media.api-sports.io/football/players/731.png,https://media.api-sports.io/football/teams/85.png,6.800000,0.0,0.0,0.0,False,,,0.0,0.0,1.0,https://media.api-sports.io/football/players/731.png,https://media.api-sports.io/football/teams/85.png,Ligue 1,80.0,185.0
1253,B. Costil,37,France,False,Lille,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/1253.png,https://media.api-sports.io/football/teams/79.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/1253.png,https://media.api-sports.io/football/teams/79.png,Ligue 1,88.0,188.0
2059,W. Ben Yedder,34,France,False,Monaco,Attacker,32.0,2323.0,,38.0,738.0,31.0,52.0,44.0,,17.0,20.0,11.0,,8.0,4.0,56.0,169.0,2.0,16.0,0.0,,https://media.api-sports.io/football/players/2059.png,https://media.api-sports.io/football/teams/91.png,7.128125,2.0,0.0,0.0,False,,,1.0,0.0,,https://media.api-sports.io/football/players/2059.png,https://media.api-sports.io/football/teams/91.png,Ligue 1,68.0,170.0
20568,A. Letellier,34,France,False,Paris Saint Germain,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/20568.png,https://media.api-sports.io/football/teams/85.png,,0.0,0.0,0.0,False,,,0.0,0.0,0.0,https://media.api-sports.io/football/players/20568.png,https://media.api-sports.io/football/teams/85.png,Ligue 1,93.0,193.0
409217,Serif Nhaga,19,Portugal,False,Paris Saint Germain,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/409217.png,https://media.api-sports.io/football/teams/85.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/409217.png,https://media.api-sports.io/football/teams/85.png,Ligue 1,66.0,170.0
419035,M. Coulibaly,20,France,False,Monaco,Midfielder,5.0,115.0,,1.0,68.0,,1.0,3.0,,1.0,2.0,3.0,,,7.0,12.0,26.0,0.0,0.0,0.0,,https://media.api-sports.io/football/players/419035.png,https://media.api-sports.io/football/teams/91.png,6.366666,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/419035.png,https://media.api-sports.io/football/teams/91.png,Ligue 1,,
327,A. Ounas,28,Algeria,False,Lille,Midfielder,17.0,407.0,,13.0,169.0,4.0,7.0,22.0,,16.0,12.0,3.0,,6.0,4.0,38.0,74.0,,1.0,0.0,,https://media.api-sports.io/football/players/327.png,https://media.api-sports.io/football/teams/79.png,6.887500,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/327.png,https://media.api-sports.io/football/teams/79.png,Ligue 1,65.0,172.0
933,K. Gameiro,37,France,False,Strasbourg,Attacker,27.0,1345.0,,24.0,451.0,12.0,22.0,12.0,,7.0,6.0,3.0,,3.0,10.0,27.0,77.0,2.0,4.0,0.0,,https://media.api-sports.io/football/players/933.png,https://media.api-sports.io/football/teams/95.png,6.819230,0.0,0.0,0.0,False,,,2.0,0.0,,https://media.api-sports.io/football/players/933.png,https://media.api-sports.io/football/teams/95.png,Ligue 1,70.0,172.0
2051,M. Gonalons,35,France,False,Clermont Foot,Midfielder,21.0,1308.0,,7.0,769.0,3.0,11.0,15.0,,8.0,15.0,28.0,3.0,20.0,47.0,86.0,175.0,,1.0,0.0,,https://media.api-sports.io/football/players/2051.png,https://media.api-sports.io/football/teams/99.png,6.738095,4.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/2051.png,https://media.api-sports.io/football/teams/99.png,Ligue 1,76.0,187.0
2203,M. Zeffane,32,Algeria,False,Clermont Foot,Defender,23.0,1234.0,,9.0,547.0,1.0,14.0,11.0,,2.0,7.0,13.0,3.0,16.0,31.0,47.0,102.0,,0.0,0.0,,https://media.api-sports.io/football/players/2203.png,https://media.api-sports.io/football/teams/99.png,6.590909,2.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/2203.png,https://media.api-sports.io/football/teams/99.png,Ligue 1,73.0,176.0
3292,L. Mothiba,28,South Africa,False,Strasbourg,Attacker,15.0,611.0,,5.0,117.0,7.0,13.0,5.0,,4.0,11.0,13.0,1.0,,5.0,42.0,96.0,,3.0,0.0,,https://media.api-sports.io/football/players/3292.png,https://media.api-sports.io/football/teams/95.png,6.700000,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/3292.png,https://media.api-sports.io/football/teams/95.png,Ligue 1,78.0,182.0
10561,Henrique,30,Brazil,False,Lyon,Defender,11.0,605.0,,5.0,329.0,3.0,7.0,6.0,,2.0,8.0,7.0,2.0,10.0,10.0,25.0,47.0,,1.0,0.0,,https://media.api-sports.io/football/players/10561.png,https://media.api-sports.io/football/teams/80.png,6.727272,2.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/10561.png,https://media.api-sports.io/football/teams/80.png,Ligue 1,71.0,173.0
20591,W. Tchimbembé,26,Congo,False,Metz,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/20591.png,https://media.api-sports.io/football/teams/112.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/20591.png,https://media.api-sports.io/football/teams/112.png,Ligue 1,74.0,174.0
20651,J. Leca,39,France,False,Lens,Goalkeeper,1.0,90.0,,,21.0,,,,,,,,,,,1.0,1.0,0.0,0.0,2.0,1.0,https://media.api-sports.io/football/players/20651.png,https://media.api-sports.io/football/teams/116.png,6.300000,0.0,0.0,0.0,False,,,0.0,0.0,1.0,https://media.api-sports.io/football/players/20651.png,https://media.api-sports.io/football/teams/116.png,Ligue 1,75.0,180.0
21441,F. Maouassa,26,France,False,Lens,Defender,3.0,76.0,,2.0,18.0,2.0,3.0,2.0,,1.0,1.0,2.0,,,1.0,5.0,13.0,,0.0,0.0,,https://media.api-sports.io/football/players/21441.png,https://media.api-sports.io/football/teams/116.png,6.600000,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/21441.png,https://media.api-sports.io/football/teams/116.png,Ligue 1,76.0,170.0
22219,A. Jakubech,27,Slovakia,False,Lille,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/22219.png,https://media.api-sports.io/football/teams/79.png,,0.0,0.0,0.0,False,,,0.0,0.0,2.0,https://media.api-sports.io/football/players/22219.png,https://media.api-sports.io/football/teams/79.png,Ligue 1,85.0,188.0
65618,K. Romay,30,Bolivia,False,Nacional Potosí,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/65618.png,https://media.api-sports.io/football/teams/3706.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/65618.png,https://media.api-sports.io/football/teams/3706.png,Ligue 1,,
68132,Ouparine Djoco,26,Guinea-Bissau,False,Clermont Foot,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/68132.png,https://media.api-sports.io/football/teams/99.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/68132.png,https://media.api-sports.io/football/teams/99.png,Ligue 1,90.0,188.0
