Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Penalty_Won,Penalty_Commited,Penalty_Scored,Penalty_Missed,Penalty_Saved,player_photo,player_team_logo,player_league_name,Weight_kg,Height_cm
279,L. Mbe Soh,22,France,False,Nottingham Forest,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/279.png,https://media.api-sports.io/football/teams/65.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/279.png,https://media.api-sports.io/football/teams/65.png,Premier League,81.0,186.0
19866,J. Lowe,29,Jamaica,False,Bournemouth,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/19866.png,https://media.api-sports.io/football/teams/35.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/19866.png,https://media.api-sports.io/football/teams/35.png,Premier League,79.0,183.0
138821,M. Lewis,23,England,False,Burnley,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/138821.png,https://media.api-sports.io/football/teams/44.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/138821.png,https://media.api-sports.io/football/teams/44.png,Premier League,,
192349,G. Shelvey,23,England,False,Nottingham Forest,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/192349.png,https://media.api-sports.io/football/teams/65.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/192349.png,https://media.api-sports.io/football/teams/65.png,Premier League,83.0,188.0
18922,J. Cork,35,England,False,Burnley,Midfielder,4.0,23.0,,,32.0,,,,,,1.0,4.0,,1.0,2.0,3.0,11.0,0.0,0.0,0.0,,https://media.api-sports.io/football/players/18922.png,https://media.api-sports.io/football/teams/44.png,6.566666,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/18922.png,https://media.api-sports.io/football/teams/44.png,Premier League,70.0,183.0
19091,C. Basham,36,England,False,Sheffield Utd,Defender,8.0,319.0,,2.0,122.0,,2.0,4.0,,3.0,3.0,3.0,4.0,5.0,7.0,20.0,41.0,,0.0,0.0,,https://media.api-sports.io/football/players/19091.png,https://media.api-sports.io/football/teams/62.png,6.650000,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/19091.png,https://media.api-sports.io/football/teams/62.png,Premier League,80.0,190.0
172,D. Alli,28,England,False,Everton,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/172.png,https://media.api-sports.io/football/teams/45.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/172.png,https://media.api-sports.io/football/teams/45.png,Premier League,76.0,188.0
286,J. Matip,33,Cameroon,False,Liverpool,Defender,10.0,783.0,49.0,2.0,563.0,,4.0,2.0,,,3.0,7.0,12.0,9.0,12.0,43.0,70.0,,0.0,0.0,,https://media.api-sports.io/football/players/286.png,https://media.api-sports.io/football/teams/40.png,7.040000,2.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/286.png,https://media.api-sports.io/football/teams/40.png,Premier League,90.0,195.0
371,Felipe,35,Brazil,False,Nottingham Forest,Defender,7.0,373.0,,2.0,213.0,,1.0,2.0,,1.0,2.0,10.0,1.0,4.0,12.0,29.0,50.0,,0.0,0.0,,https://media.api-sports.io/football/players/371.png,https://media.api-sports.io/football/teams/65.png,6.614285,4.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/371.png,https://media.api-sports.io/football/teams/65.png,Premier League,83.0,190.0
507,Thiago Alcântara,33,Spain,False,Liverpool,Midfielder,1.0,5.0,,,10.0,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/507.png,https://media.api-sports.io/football/teams/40.png,6.300000,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/507.png,https://media.api-sports.io/football/teams/40.png,Premier League,70.0,174.0
