Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Penalty_Won,Penalty_Commited,Penalty_Scored,Penalty_Missed,Penalty_Saved,player_photo,player_team_logo,player_league_name,Weight_kg,Height_cm
768,F. Fazio,37.0,Argentina,False,Salernitana,Defender,17.0,1355.0,,3.0,576.0,2.0,6.0,2.0,,2.0,9.0,9.0,19.0,17.0,18.0,79.0,117.0,0.0,1.0,0.0,,https://media.api-sports.io/football/players/768.png,https://media.api-sports.io/football/teams/514.png,6.805882,3.0,1.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/768.png,https://media.api-sports.io/football/teams/514.png,Serie A,85.0,195.0
853,L. Bonucci,37.0,Italy,False,Juventus,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/853.png,https://media.api-sports.io/football/teams/496.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/853.png,https://media.api-sports.io/football/teams/496.png,Serie A,85.0,190.0
1154,S. Ilsanker,34.0,Austria,False,Genoa,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/1154.png,https://media.api-sports.io/football/teams/495.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/1154.png,https://media.api-sports.io/football/teams/495.png,Serie A,85.0,189.0
1253,B. Costil,37.0,France,False,Salernitana,Goalkeeper,13.0,1170.0,,1.0,381.0,,,,,,1.0,,,,2.0,3.0,4.0,,0.0,29.0,39.0,https://media.api-sports.io/football/players/1253.png,https://media.api-sports.io/football/teams/514.png,6.738461,0.0,0.0,0.0,False,,,0.0,0.0,0.0,https://media.api-sports.io/football/players/1253.png,https://media.api-sports.io/football/teams/514.png,Serie A,88.0,188.0
2045,S. Kjær,35.0,Denmark,False,AC Milan,Defender,20.0,1172.0,,4.0,830.0,,3.0,,,,2.0,9.0,16.0,14.0,24.0,49.0,84.0,1.0,0.0,0.0,,https://media.api-sports.io/football/players/2045.png,https://media.api-sports.io/football/teams/489.png,6.884210,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/2045.png,https://media.api-sports.io/football/teams/489.png,Serie A,84.0,191.0
30691,A. Mallamo,25.0,Italy,False,Atalanta,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/30691.png,https://media.api-sports.io/football/teams/499.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/30691.png,https://media.api-sports.io/football/teams/499.png,Serie A,,174.0
31447,A. Anastasio,28.0,Italy,False,Monza,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/31447.png,https://media.api-sports.io/football/teams/1579.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/31447.png,https://media.api-sports.io/football/teams/1579.png,Serie A,74.0,180.0
162014,D. Ghislandi,23.0,Italy,False,Atalanta,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/162014.png,https://media.api-sports.io/football/teams/499.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/162014.png,https://media.api-sports.io/football/teams/499.png,Serie A,,177.0
179502,M. Ballarini,23.0,Italy,False,Udinese,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/179502.png,https://media.api-sports.io/football/teams/494.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/179502.png,https://media.api-sports.io/football/teams/494.png,Serie A,,186.0
199210,J. De Matteis,21.0,Italy,False,Salernitana,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/199210.png,https://media.api-sports.io/football/teams/514.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/199210.png,https://media.api-sports.io/football/teams/514.png,Serie A,,186.0
345817,V. Eletu,19.0,Nigeria,False,AC Milan,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/345817.png,https://media.api-sports.io/football/teams/489.png,,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/345817.png,https://media.api-sports.io/football/teams/489.png,Serie A,,176.0
22227,A. Soumaoro,32.0,France,False,Bologna,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/22227.png,https://media.api-sports.io/football/teams/500.png,,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/22227.png,https://media.api-sports.io/football/teams/500.png,Serie A,93.0,186.0
765,A. Mirante,41.0,Italy,False,AC Milan,Goalkeeper,2.0,178.0,,,49.0,,,,,,,,,,,2.0,2.0,0.0,0.0,3.0,5.0,https://media.api-sports.io/football/players/765.png,https://media.api-sports.io/football/teams/489.png,6.550000,0.0,0.0,0.0,False,,,0.0,0.0,0.0,https://media.api-sports.io/football/players/765.png,https://media.api-sports.io/football/teams/489.png,Serie A,79.0,193.0
772,K. Manolas,33.0,Greece,False,Salernitana,Defender,8.0,492.0,,1.0,302.0,,1.0,1.0,,1.0,3.0,5.0,7.0,2.0,9.0,33.0,48.0,0.0,0.0,0.0,,https://media.api-sports.io/football/players/772.png,https://media.api-sports.io/football/teams/514.png,6.825000,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/772.png,https://media.api-sports.io/football/teams/514.png,Serie A,83.0,189.0
453038,C. Borrelli,18.0,Italy,False,Salernitana,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/453038.png,https://media.api-sports.io/football/teams/514.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/453038.png,https://media.api-sports.io/football/teams/514.png,Serie A,,189.0
30517,G. Pegolo,43.0,Italy,False,Sassuolo,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/30517.png,https://media.api-sports.io/football/teams/488.png,,1.0,0.0,0.0,False,,,0.0,0.0,2.0,https://media.api-sports.io/football/players/30517.png,https://media.api-sports.io/football/teams/488.png,Serie A,76.0,184.0
30842,S. Bidaoui,34.0,Morocco,False,Frosinone,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/30842.png,https://media.api-sports.io/football/teams/512.png,,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/30842.png,https://media.api-sports.io/football/teams/512.png,Serie A,65.0,168.0
312485,D. Theiner,20.0,Italy,False,Sassuolo,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/312485.png,https://media.api-sports.io/football/teams/488.png,,0.0,0.0,0.0,False,,,0.0,0.0,0.0,https://media.api-sports.io/football/players/312485.png,https://media.api-sports.io/football/teams/488.png,Serie A,,
398185,M. Popović,18.0,Serbia,False,Monza,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/398185.png,https://media.api-sports.io/football/teams/1579.png,,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/398185.png,https://media.api-sports.io/football/teams/1579.png,Serie A,,193.0
