Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Weight_kg,Height_cm
46743,Salva Sevilla,39,Spain,False,Alaves,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/46743.png,https://media-4.api-sports.io/football/teams/542.png,,0.0,0.0,0.0,False,71.0,178.0
47056,Íñigo Eguaras,31,Spain,False,Almeria,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/47056.png,https://media-4.api-sports.io/football/teams/723.png,,0.0,0.0,0.0,False,77.0,181.0
47327,Diego López,42,Spain,False,Rayo Vallecano,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/47327.png,https://media-4.api-sports.io/football/teams/728.png,,0.0,0.0,0.0,False,89.0,196.0
147797,Antoñín Cortés,23,Spain,False,Granada CF,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/147797.png,https://media-4.api-sports.io/football/teams/715.png,,0.0,0.0,0.0,False,71.0,182.0
184609,Jorge Moreno,22,Spain,False,Rayo Vallecano,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media-4.api-sports.io/football/players/184609.png,https://media-4.api-sports.io/football/teams/728.png,,0.0,0.0,0.0,False,,184.0
185075,Ruly García,23,Spain,False,Celta Vigo,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media-4.api-sports.io/football/players/185075.png,https://media-4.api-sports.io/football/teams/538.png,,0.0,0.0,0.0,False,83.0,188.0
282131,M. Šviderský,21,Slovakia,False,Almeria,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/282131.png,https://media-4.api-sports.io/football/teams/723.png,,0.0,0.0,0.0,False,,184.0
299883,Dani González,21,Spain,False,Atletico Madrid,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/299883.png,https://media-4.api-sports.io/football/teams/530.png,,0.0,0.0,0.0,False,,189.0
310609,Gui,21,Portugal,False,Almeria,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media-4.api-sports.io/football/players/310609.png,https://media-4.api-sports.io/football/teams/723.png,,0.0,0.0,0.0,False,67.0,185.0
310683,Álvaro Bastida,19,Spain,False,Cadiz,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media-4.api-sports.io/football/players/310683.png,https://media-4.api-sports.io/football/teams/724.png,,0.0,0.0,0.0,False,,170.0
377197,Pablo Muñoz,20,Spain,False,Rayo Vallecano,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media-4.api-sports.io/football/players/377197.png,https://media-4.api-sports.io/football/teams/728.png,,0.0,0.0,0.0,False,,
