Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Weight_kg,Height_cm
36631,Tamer Seyam,31,Palestine,False,Prachuap,Attacker,5.0,433.0,,,,,,,,,,,,,,,,,1.0,,,https://media-4.api-sports.io/football/players/36631.png,https://media-4.api-sports.io/football/teams/2791.png,,2.0,0.0,0.0,False,71.0,186.0
49210,L. Kamreun,37,Thailand,False,Sukhothai FC,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/49210.png,https://media-4.api-sports.io/football/teams/2783.png,,0.0,0.0,0.0,False,65.0,175.0
110575,A. Soukouna,31,France,False,Bangkok United,Attacker,2.0,18.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/110575.png,https://media-4.api-sports.io/football/teams/2770.png,,0.0,0.0,0.0,False,68.0,175.0
122455,Maung Maung Lwin,28,Myanmar,False,Lamphun Warrior,Attacker,9.0,620.0,4.0,,9.0,,,2.0,,2.0,,,,,1.0,3.0,3.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/122455.png,https://media-4.api-sports.io/football/teams/6572.png,6.900000,3.0,0.0,0.0,False,,178.0
158035,Willen Mota,31,Brazil,False,Bangkok United,Attacker,7.0,629.0,,,,,,,,,,,,,,,,,3.0,,,https://media-4.api-sports.io/football/players/158035.png,https://media-4.api-sports.io/football/teams/2770.png,,0.0,0.0,0.0,False,80.0,184.0
14340,Bassel Jradi,30,Lebanon,False,Bangkok United,Midfielder,5.0,182.0,,,,,,,,,,,,,,,,,1.0,,,https://media-4.api-sports.io/football/players/14340.png,https://media-4.api-sports.io/football/teams/2770.png,,0.0,0.0,0.0,False,78.0,187.0
32930,T. Puangchan,30,Thailand,False,Bangkok United,Midfielder,6.0,521.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/32930.png,https://media-4.api-sports.io/football/teams/2770.png,,2.0,0.0,0.0,False,70.0,176.0
48229,Mahmoud Eid,30,Palestine,False,Bangkok United,Attacker,7.0,629.0,,,,,,,,,,,,,,,,,5.0,,,https://media-4.api-sports.io/football/players/48229.png,https://media-4.api-sports.io/football/teams/2770.png,,2.0,0.0,0.0,False,85.0,183.0
48881,N. Selanon,30,Thailand,False,Bangkok United,Defender,7.0,583.0,,,,,,,,,,,,,,,,,1.0,,,https://media-4.api-sports.io/football/players/48881.png,https://media-4.api-sports.io/football/teams/2770.png,,1.0,0.0,0.0,False,65.0,170.0
49000,C. Srinawong,30,Thailand,False,Bangkok United,Attacker,5.0,79.0,,,,,,,,,,,,,,,,,1.0,,,https://media-4.api-sports.io/football/players/49000.png,https://media-4.api-sports.io/football/teams/2770.png,,0.0,0.0,0.0,False,71.0,175.0
49007,M. Bihr,30,Thailand,False,Bangkok United,Defender,3.0,181.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/49007.png,https://media-4.api-sports.io/football/teams/2770.png,,1.0,0.0,0.0,False,76.0,184.0
49011,Everton,33,Brazil,False,Bangkok United,Defender,7.0,630.0,,,,,,,,,,,,,,,,,2.0,,,https://media-4.api-sports.io/football/players/49011.png,https://media-4.api-sports.io/football/teams/2770.png,,1.0,0.0,0.0,False,78.0,186.0
49012,W. Jarunongkran,27,Thailand,False,Bangkok United,Defender,3.0,55.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/49012.png,https://media-4.api-sports.io/football/teams/2770.png,,0.0,0.0,0.0,False,68.0,179.0
49018,P. Wannasri,31,Thailand,False,Bangkok United,Defender,3.0,92.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/49018.png,https://media-4.api-sports.io/football/teams/2770.png,,0.0,0.0,0.0,False,70.0,170.0
49022,P. A-nan,32,Thailand,False,Bangkok United,Midfielder,7.0,618.0,,,,,,,,,,,,,,,,,2.0,,,https://media-4.api-sports.io/football/players/49022.png,https://media-4.api-sports.io/football/teams/2770.png,,1.0,0.0,0.0,False,66.0,179.0
49026,W. Imura,26,Thailand,False,Bangkok United,Midfielder,2.0,3.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/49026.png,https://media-4.api-sports.io/football/teams/2770.png,,0.0,0.0,0.0,False,69.0,177.0
49028,T. Limwanasathian,30,Thailand,False,Bangkok United,Midfielder,7.0,465.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/49028.png,https://media-4.api-sports.io/football/teams/2770.png,,0.0,0.0,0.0,False,70.0,171.0
49031,R. Phumichantuk,31,Thailand,False,Bangkok United,Midfielder,7.0,582.0,,,,,,,,,,,,,,,,,1.0,,,https://media-4.api-sports.io/football/players/49031.png,https://media-4.api-sports.io/football/teams/2770.png,,0.0,0.0,0.0,False,68.0,173.0
49035,C. Tapsuvanavon,23,Thailand,False,Bangkok United,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/49035.png,https://media-4.api-sports.io/football/teams/2770.png,,0.0,0.0,0.0,False,62.0,171.0
