Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Weight_kg,Height_cm
20924,Vagner,27,Cape Verde,False,Metz,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/20924.png,https://media-4.api-sports.io/football/teams/112.png,,0.0,0.0,0.0,False,69.0,168.0
7,A. Diallo,27,Senegal,False,Paris Saint Germain,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/7.png,https://media-4.api-sports.io/football/teams/85.png,,0.0,0.0,0.0,False,79.0,187.0
267,J. Draxler,30,Germany,False,Paris Saint Germain,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/267.png,https://media-4.api-sports.io/football/teams/85.png,,0.0,0.0,0.0,False,72.0,185.0
273,M. Verratti,31,Italy,False,Paris Saint Germain,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/273.png,https://media-4.api-sports.io/football/teams/85.png,,0.0,0.0,0.0,False,60.0,165.0
276,Neymar,31,Brazil,False,Paris Saint Germain,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/276.png,https://media-4.api-sports.io/football/teams/85.png,,0.0,0.0,0.0,False,68.0,175.0
1422,J. Doku,21,Belgium,False,Rennes,Attacker,2.0,111.0,21.0,3.0,48.0,4.0,5.0,9.0,,9.0,4.0,2.0,,,2.0,15.0,21.0,,1.0,0.0,,https://media-4.api-sports.io/football/players/1422.png,https://media-4.api-sports.io/football/teams/94.png,7.750000,0.0,0.0,0.0,False,66.0,173.0
1465,P. Aubameyang,34,Gabon,False,Marseille,Attacker,9.0,719.0,13.0,10.0,171.0,7.0,18.0,6.0,,2.0,6.0,2.0,,3.0,4.0,22.0,55.0,3.0,1.0,0.0,,https://media-4.api-sports.io/football/players/1465.png,https://media-4.api-sports.io/football/teams/81.png,6.888888,1.0,0.0,0.0,False,80.0,187.0
18785,N. Mendy,31,Senegal,False,Lens,Midfielder,2.0,129.0,44.0,,102.0,,,,,,5.0,2.0,,,4.0,9.0,10.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/18785.png,https://media-4.api-sports.io/football/teams/116.png,7.000000,1.0,0.0,0.0,False,73.0,167.0
20554,H. Belkebla,29,Algeria,False,Stade Brestois 29,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/20554.png,https://media-4.api-sports.io/football/teams/106.png,,0.0,0.0,0.0,False,68.0,177.0
50956,C. Cásseres,23,Venezuela,False,Toulouse,Midfielder,9.0,659.0,29.0,5.0,328.0,1.0,1.0,5.0,,2.0,13.0,19.0,2.0,10.0,19.0,39.0,87.0,1.0,0.0,0.0,,https://media-4.api-sports.io/football/players/50956.png,https://media-4.api-sports.io/football/teams/96.png,6.777777,0.0,0.0,0.0,False,68.0,176.0
