Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Weight_kg,Height_cm
279,L. Mbe Soh,22,France,False,Nottingham Forest,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/279.png,https://media-4.api-sports.io/football/teams/65.png,,0.0,0.0,0.0,False,81.0,186.0
19866,J. Lowe,29,Jamaica,False,Bournemouth,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/19866.png,https://media-4.api-sports.io/football/teams/35.png,,0.0,0.0,0.0,False,79.0,183.0
284186,S. McAllister,21,Northern Ireland,False,Everton,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/284186.png,https://media-4.api-sports.io/football/teams/45.png,,0.0,0.0,0.0,False,,
284493,T. Adaramola,20,Republic of Ireland,False,Crystal Palace,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/284493.png,https://media-4.api-sports.io/football/teams/52.png,,0.0,0.0,0.0,False,,
301295,K. Rodney,19,England,False,Crystal Palace,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/301295.png,https://media-4.api-sports.io/football/teams/52.png,,0.0,0.0,0.0,False,,
1853,Bruno Jordão,25,Portugal,False,Wolves,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/1853.png,https://media-4.api-sports.io/football/teams/39.png,,0.0,0.0,0.0,False,73.0,180.0
216770,I. Hansen-Aarøen,19,Norway,False,Manchester United,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/216770.png,https://media-4.api-sports.io/football/teams/33.png,,0.0,0.0,0.0,False,,173.0
284212,D. Sassi,20,England,False,Burnley,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/284212.png,https://media-4.api-sports.io/football/teams/44.png,,0.0,0.0,0.0,False,,
284363,R. Bennett,20,England,False,Manchester United,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/284363.png,https://media-4.api-sports.io/football/teams/33.png,,0.0,0.0,0.0,False,,
288279,Luizão,21,Brazil,False,West Ham,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/288279.png,https://media-4.api-sports.io/football/teams/48.png,,0.0,0.0,0.0,False,72.0,187.0
334725,D. Sadi,20,England,False,Bournemouth,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/334725.png,https://media-4.api-sports.io/football/teams/35.png,,0.0,0.0,0.0,False,65.0,174.0
382160,D. Adu-Adjei,18,England,False,Bournemouth,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/382160.png,https://media-4.api-sports.io/football/teams/35.png,,0.0,0.0,0.0,False,,177.0
3240,J. Gbamin,28,Côte d'Ivoire,False,Everton,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/3240.png,https://media-4.api-sports.io/football/teams/45.png,,0.0,0.0,0.0,False,83.0,186.0
19592,L. Freeman,31,England,False,Luton,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/19592.png,https://media-4.api-sports.io/football/teams/1359.png,,0.0,0.0,0.0,False,64.0,181.0
19757,G. Rea,29,Republic of Ireland,False,Luton,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/19757.png,https://media-4.api-sports.io/football/teams/1359.png,,0.0,0.0,0.0,False,73.0,184.0
153420,G. Wickens,22,England,False,Fulham,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/153420.png,https://media-4.api-sports.io/football/teams/36.png,,0.0,0.0,0.0,False,,183.0
231062,A. Okonkwo,22,England,False,Arsenal,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/231062.png,https://media-4.api-sports.io/football/teams/42.png,,0.0,0.0,0.0,False,84.0,198.0
277716,A. Hackford,19,England,False,Sheffield Utd,Attacker,2.0,11.0,2.0,,2.0,,,1.0,,,,,,,,,2.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/277716.png,https://media-4.api-sports.io/football/teams/62.png,6.250000,0.0,0.0,0.0,False,,177.0
327738,L. De Fougerolles,18,Canada,False,Fulham,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/327738.png,https://media-4.api-sports.io/football/teams/36.png,,0.0,0.0,0.0,False,,
335813,A. Francis-Clarke,18,England,False,Luton,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media-4.api-sports.io/football/players/335813.png,https://media-4.api-sports.io/football/teams/1359.png,,0.0,0.0,0.0,False,,
347066,E. Pollock,21,England,False,Bournemouth,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/347066.png,https://media-4.api-sports.io/football/teams/35.png,,0.0,0.0,0.0,False,,173.0
382166,C. Plain,22,England,False,Bournemouth,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/382166.png,https://media-4.api-sports.io/football/teams/35.png,,0.0,0.0,0.0,False,,
616,A. Murić,25,Kosovo,False,Burnley,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media-4.api-sports.io/football/players/616.png,https://media-4.api-sports.io/football/teams/44.png,,0.0,0.0,0.0,False,81.0,198.0
978,K. Havertz,24,Germany,False,Arsenal,Midfielder,8.0,463.0,19.0,7.0,179.0,1.0,6.0,5.0,,1.0,9.0,11.0,1.0,3.0,13.0,33.0,67.0,1.0,1.0,0.0,,https://media-4.api-sports.io/football/players/978.png,https://media-4.api-sports.io/football/teams/42.png,6.987500,3.0,0.0,0.0,False,83.0,193.0
2869,E. Álvarez,26,Mexico,False,West Ham,Midfielder,7.0,503.0,27.0,1.0,227.0,1.0,2.0,6.0,,5.0,3.0,12.0,3.0,4.0,13.0,31.0,65.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/2869.png,https://media-4.api-sports.io/football/teams/48.png,6.785714,4.0,0.0,0.0,False,73.0,187.0
19023,T. Ream,36,USA,False,Fulham,Defender,7.0,604.0,66.0,,516.0,1.0,1.0,2.0,,1.0,2.0,5.0,,6.0,14.0,30.0,52.0,,1.0,0.0,,https://media-4.api-sports.io/football/players/19023.png,https://media-4.api-sports.io/football/teams/36.png,6.757142,2.0,0.0,1.0,False,80.0,183.0
19191,J.  McGinn,29,Scotland,False,Aston Villa,Midfielder,8.0,660.0,20.0,11.0,207.0,2.0,5.0,19.0,,12.0,13.0,13.0,,4.0,9.0,34.0,72.0,1.0,1.0,0.0,,https://media-4.api-sports.io/football/players/19191.png,https://media-4.api-sports.io/football/teams/66.png,6.962500,2.0,0.0,0.0,False,68.0,178.0
20386,M. Macey,29,England,False,Luton,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/20386.png,https://media-4.api-sports.io/football/teams/1359.png,,0.0,0.0,0.0,False,96.0,201.0
30544,G. Scamacca,24,Italy,False,West Ham,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/30544.png,https://media-4.api-sports.io/football/teams/48.png,,0.0,0.0,0.0,False,85.0,196.0
50892,D. Pereira,24,England,False,Luton,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/50892.png,https://media-4.api-sports.io/football/teams/1359.png,,0.0,0.0,0.0,False,77.0,180.0
61431,J. Kiwior,23,Poland,False,Arsenal,Defender,2.0,91.0,27.0,,63.0,1.0,1.0,,,,,1.0,1.0,,2.0,3.0,7.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/61431.png,https://media-4.api-sports.io/football/teams/42.png,6.750000,0.0,0.0,0.0,False,75.0,189.0
116117,M. Caicedo,22,Ecuador,False,Chelsea,Midfielder,6.0,455.0,49.0,2.0,321.0,1.0,2.0,8.0,,5.0,7.0,8.0,5.0,2.0,13.0,33.0,52.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/116117.png,https://media-4.api-sports.io/football/teams/49.png,7.066666,1.0,0.0,0.0,False,73.0,178.0
136723,N. Madueke,21,England,False,Chelsea,Attacker,3.0,43.0,17.0,,36.0,1.0,1.0,2.0,,,1.0,,,,,1.0,5.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/136723.png,https://media-4.api-sports.io/football/teams/49.png,6.800000,0.0,0.0,0.0,False,75.0,176.0
