Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Weight_kg,Height_cm
9287,Luquinha,23,Brazil,False,Portimonense,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/9287.png,https://media-4.api-sports.io/football/teams/216.png,,0.0,0.0,0.0,False,65.0,167.0
104901,Dani Morer,25,Spain,False,Famalicao,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/104901.png,https://media-4.api-sports.io/football/teams/242.png,,0.0,0.0,0.0,False,63.0,169.0
142604,Diogo Paulo,22,Portugal,False,Farense,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/142604.png,https://media-4.api-sports.io/football/teams/231.png,,0.0,0.0,0.0,False,77.0,185.0
162184,Rafael Rodrigues,21,Portugal,False,Benfica,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/162184.png,https://media-4.api-sports.io/football/teams/211.png,,0.0,0.0,0.0,False,61.0,174.0
293613,Mauro Ribeiro,21,Portugal,False,Famalicao,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/293613.png,https://media-4.api-sports.io/football/teams/242.png,,0.0,0.0,0.0,False,,
361390,L. Oliveira,18,Sweden,False,Famalicao,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/361390.png,https://media-4.api-sports.io/football/teams/242.png,,0.0,0.0,0.0,False,,
378332,Samuel Lobato,22,Portugal,False,Famalicao,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/378332.png,https://media-4.api-sports.io/football/teams/242.png,,0.0,0.0,0.0,False,,184.0
424497,H. Diallo,21,Mali,False,Farense,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/424497.png,https://media-4.api-sports.io/football/teams/231.png,,0.0,0.0,0.0,False,83.0,188.0
427853,João Santos,20,Portugal,False,Famalicao,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/427853.png,https://media-4.api-sports.io/football/teams/242.png,,0.0,0.0,0.0,False,,
2213,J. Léa Siliki,27,Cameroon,False,Estoril,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/2213.png,https://media-4.api-sports.io/football/teams/230.png,,0.0,0.0,0.0,False,73.0,183.0
22263,K. Zohi,27,Mali,False,Vizela,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/22263.png,https://media-4.api-sports.io/football/teams/810.png,,0.0,0.0,0.0,False,70.0,177.0
41542,V. García,29,Venezuela,False,Moreirense,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/41542.png,https://media-4.api-sports.io/football/teams/215.png,,0.0,0.0,0.0,False,71.0,178.0
119633,Kiko Bondoso,28,Portugal,False,Vizela,Attacker,3.0,193.0,17.0,5.0,67.0,,2.0,10.0,,4.0,5.0,,,1.0,4.0,13.0,26.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/119633.png,https://media-4.api-sports.io/football/teams/810.png,6.966666,0.0,0.0,0.0,False,,
130242,Diogo Pinto,24,Portugal,False,Casa Pia,Midfielder,1.0,9.0,3.0,,4.0,,,,,,1.0,,,,,1.0,2.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/130242.png,https://media-4.api-sports.io/football/teams/4716.png,6.700000,0.0,0.0,0.0,False,65.0,175.0
137223,J. Opoku,25,Ghana,False,Arouca,Defender,2.0,134.0,18.0,,48.0,,1.0,3.0,,1.0,2.0,,,,1.0,7.0,10.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/137223.png,https://media-4.api-sports.io/football/teams/240.png,6.600000,0.0,0.0,0.0,False,79.0,194.0
153719,Luís Asué,22,Equatorial Guinea,False,SC Braga,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/153719.png,https://media-4.api-sports.io/football/teams/217.png,,0.0,0.0,0.0,False,,
278732,Tiago Gonçalves,20,Portugal,False,Guimaraes,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/278732.png,https://media-4.api-sports.io/football/teams/224.png,,0.0,0.0,0.0,False,89.0,197.0
289445,M. Tanlongo,20,Argentina,False,Sporting CP,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/289445.png,https://media-4.api-sports.io/football/teams/228.png,,0.0,0.0,0.0,False,,177.0
296851,Rodrigo Ramos,20,Portugal,False,Estoril,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/296851.png,https://media-4.api-sports.io/football/teams/230.png,,0.0,0.0,0.0,False,58.0,170.0
301528,A. Schjelderup,19,Norway,False,Benfica,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media-4.api-sports.io/football/players/301528.png,https://media-4.api-sports.io/football/teams/211.png,,0.0,0.0,0.0,False,73.0,176.0
330287,Miguel Vilela,23,Portugal,False,SC Braga,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/330287.png,https://media-4.api-sports.io/football/teams/217.png,,0.0,0.0,0.0,False,,175.0
