Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Weight_kg,Height_cm
105352,Saeed Rashed,35.0,United Arab Emirates,False,Emirates Club,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/105352.png,https://media-4.api-sports.io/football/teams/2868.png,,0.0,0.0,0.0,False,,
291348,Abdulla Ahmed,19.0,United Arab Emirates,False,Al Wahda FC,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/291348.png,https://media-4.api-sports.io/football/teams/2875.png,,0.0,0.0,0.0,False,,
9366,Igor Jesus,22.0,Brazil,False,Shabab Al Ahli Dubai,Attacker,3.0,182.0,,,,,,,,,,,,,,,,,1.0,,,https://media-4.api-sports.io/football/players/9366.png,https://media-4.api-sports.io/football/teams/2870.png,,0.0,0.0,0.0,False,73.0,180.0
18852,L. Milivojević,32.0,Serbia,False,Shabab Al Ahli Dubai,Midfielder,6.0,427.0,34.0,1.0,42.0,,,1.0,,1.0,1.0,1.0,,1.0,,2.0,3.0,1.0,0.0,0.0,,https://media-4.api-sports.io/football/players/18852.png,https://media-4.api-sports.io/football/teams/2870.png,6.700000,2.0,1.0,0.0,False,80.0,186.0
41465,L. Rosić,30.0,Serbia,False,Al Khaleej,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/41465.png,https://media-4.api-sports.io/football/teams/4912.png,,0.0,0.0,0.0,False,83.0,189.0
49451,Aymen Hussein,27.0,Iraq,False,Al-Jazira,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/49451.png,https://media-4.api-sports.io/football/teams/2871.png,,0.0,0.0,0.0,False,,188.0
50300,Saeed Sulaiman,24.0,United Arab Emirates,False,Shabab Al Ahli Dubai,Defender,5.0,450.0,7.0,,11.0,,,1.0,,,,,,3.0,,1.0,4.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/50300.png,https://media-4.api-sports.io/football/teams/2870.png,6.300000,1.0,0.0,0.0,False,80.0,170.0
50329,Ali Khaseif,36.0,United Arab Emirates,False,Al-Jazira,Goalkeeper,5.0,450.0,31.0,,81.0,,,,,,,,,,,3.0,3.0,,0.0,1.0,10.0,https://media-4.api-sports.io/football/players/50329.png,https://media-4.api-sports.io/football/teams/2871.png,7.800000,0.0,0.0,0.0,False,91.0,187.0
50372,Khaled Ebraheim,26.0,United Arab Emirates,False,Sharjah FC,Defender,5.0,303.0,41.0,1.0,96.0,,,3.0,,2.0,1.0,2.0,3.0,5.0,5.0,9.0,18.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/50372.png,https://media-4.api-sports.io/football/teams/2874.png,7.100000,1.0,0.0,0.0,False,73.0,183.0
50391,Yahya Al Ghassani,25.0,United Arab Emirates,False,Shabab Al Ahli Dubai,Attacker,6.0,396.0,9.0,,13.0,1.0,1.0,1.0,,1.0,,1.0,,,,2.0,8.0,,2.0,0.0,,https://media-4.api-sports.io/football/players/50391.png,https://media-4.api-sports.io/football/teams/2870.png,6.300000,0.0,0.0,0.0,False,64.0,178.0
50484,Khalid Jalal,32.0,United Arab Emirates,False,Al Nasr,Midfielder,2.0,37.0,14.0,,15.0,,,,,,,,,,1.0,1.0,1.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/50484.png,https://media-4.api-sports.io/football/teams/10155.png,6.700000,0.0,0.0,0.0,False,73.0,178.0
156197,Eid Khamis,24.0,United Arab Emirates,False,Shabab Al Ahli Dubai,Midfielder,2.0,17.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media-4.api-sports.io/football/players/156197.png,https://media-4.api-sports.io/football/teams/2870.png,,1.0,0.0,0.0,False,78.0,182.0
194736,E. El Moubarik,22.0,Morocco,False,Al Ain,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/194736.png,https://media-4.api-sports.io/football/teams/2865.png,,0.0,0.0,0.0,False,68.0,177.0
195105,Guilherme Bala,22.0,United Arab Emirates,False,Shabab Al Ahli Dubai,Midfielder,3.0,102.0,1.0,,1.0,1.0,2.0,,,,1.0,1.0,,,1.0,2.0,3.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/195105.png,https://media-4.api-sports.io/football/teams/2870.png,6.200000,0.0,0.0,0.0,False,75.0,175.0
278285,Sultan Ali,22.0,United Arab Emirates,False,Shabab Al Ahli Dubai,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/278285.png,https://media-4.api-sports.io/football/teams/2870.png,,0.0,0.0,0.0,False,55.0,173.0
283324,Sultan Adil,19.0,United Arab Emirates,False,Al-Ittihad Kalba,Attacker,5.0,93.0,10.0,1.0,31.0,,1.0,,,,2.0,,,,1.0,8.0,12.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/283324.png,https://media-4.api-sports.io/football/teams/2876.png,6.850000,1.0,0.0,0.0,False,,
289332,Abdullla Alhammadi,21.0,United Arab Emirates,False,Al-Jazira,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/289332.png,https://media-4.api-sports.io/football/teams/2871.png,,0.0,0.0,0.0,False,75.0,185.0
306216,Mateusão,19.0,Brazil,False,Shabab Al Ahli Dubai,Attacker,2.0,42.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/306216.png,https://media-4.api-sports.io/football/teams/2870.png,,0.0,0.0,0.0,False,80.0,184.0
350011,K. Aziangbe,20.0,Togo,False,Al Nasr,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/350011.png,https://media-4.api-sports.io/football/teams/10155.png,,0.0,0.0,0.0,False,70.0,180.0
427253,Alison Matheus,19.0,Brazil,False,Sharjah FC,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/427253.png,https://media-4.api-sports.io/football/teams/2874.png,,0.0,0.0,0.0,False,64.0,171.0
429991,David Costa,18.0,Brazil,False,Sharjah FC,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/429991.png,https://media-4.api-sports.io/football/teams/2874.png,,0.0,0.0,0.0,False,,
436436,Manea Al Shamsi,22.0,United Arab Emirates,False,Al Ain,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/436436.png,https://media-4.api-sports.io/football/teams/2865.png,,0.0,0.0,0.0,False,66.0,177.0
1097,M. Dabbur,31.0,Israel,False,Shabab Al Ahli Dubai,Attacker,6.0,467.0,19.0,4.0,21.0,1.0,4.0,3.0,,1.0,,,,,,2.0,6.0,,3.0,0.0,,https://media-4.api-sports.io/football/players/1097.png,https://media-4.api-sports.io/football/teams/2870.png,6.900000,0.0,0.0,0.0,False,78.0,183.0
10172,Yuri César,23.0,United Arab Emirates,False,Shabab Al Ahli Dubai,Midfielder,5.0,103.0,12.0,2.0,14.0,1.0,1.0,2.0,,1.0,,,,,2.0,3.0,7.0,,1.0,0.0,,https://media-4.api-sports.io/football/players/10172.png,https://media-4.api-sports.io/football/teams/2870.png,7.300000,0.0,0.0,0.0,False,68.0,172.0
43017,B. Planić,31.0,Serbia,False,Shabab Al Ahli Dubai,Defender,5.0,372.0,20.0,,24.0,,,,,,,1.0,1.0,,2.0,3.0,5.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/43017.png,https://media-4.api-sports.io/football/teams/2870.png,6.300000,1.0,1.0,0.0,False,85.0,191.0
46797,F. Cartabia,30.0,Argentina,False,Shabab Al Ahli Dubai,Midfielder,5.0,366.0,24.0,3.0,26.0,1.0,2.0,5.0,,4.0,2.0,1.0,,,,6.0,8.0,,3.0,0.0,,https://media-4.api-sports.io/football/players/46797.png,https://media-4.api-sports.io/football/teams/2870.png,7.700000,2.0,0.0,0.0,False,68.0,171.0
50283,Hassan Hamza,29.0,United Arab Emirates,False,Shabab Al Ahli Dubai,Goalkeeper,4.0,360.0,14.0,,14.0,,,,,,1.0,,,,,1.0,1.0,,0.0,1.0,3.0,https://media-4.api-sports.io/football/players/50283.png,https://media-4.api-sports.io/football/teams/2870.png,6.200000,0.0,0.0,0.0,False,83.0,193.0
50287,Abdulaziz Hussain,33.0,United Arab Emirates,False,Shabab Al Ahli Dubai,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/50287.png,https://media-4.api-sports.io/football/teams/2870.png,,0.0,0.0,0.0,False,73.0,180.0
50288,Walid Abbas,38.0,United Arab Emirates,False,Shabab Al Ahli Dubai,Defender,3.0,201.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/50288.png,https://media-4.api-sports.io/football/teams/2870.png,,1.0,0.0,0.0,False,68.0,183.0
50290,Mohammed Marzooq,34.0,United Arab Emirates,False,Shabab Al Ahli Dubai,Defender,3.0,246.0,21.0,,25.0,,,,,,,1.0,1.0,1.0,,1.0,3.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/50290.png,https://media-4.api-sports.io/football/teams/2870.png,6.200000,1.0,0.0,0.0,False,78.0,179.0
50298,Salmin Khamis,32.0,United Arab Emirates,False,Shabab Al Ahli Dubai,Defender,1.0,2.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/50298.png,https://media-4.api-sports.io/football/teams/2870.png,,0.0,1.0,0.0,False,76.0,183.0
50306,Abdalla Al Naqbi,30.0,United Arab Emirates,False,Shabab Al Ahli Dubai,Midfielder,1.0,5.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media-4.api-sports.io/football/players/50306.png,https://media-4.api-sports.io/football/teams/2870.png,,0.0,0.0,0.0,False,65.0,172.0
50308,Marwan Fahad,24.0,United Arab Emirates,False,Shabab Al Ahli Dubai,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/50308.png,https://media-4.api-sports.io/football/teams/2870.png,,0.0,0.0,0.0,False,65.0,175.0
50323,Mohammad Juma,26.0,United Arab Emirates,False,Shabab Al Ahli Dubai,Midfielder,5.0,49.0,3.0,,4.0,,,,,,,,,1.0,,1.0,3.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/50323.png,https://media-4.api-sports.io/football/teams/2870.png,6.200000,0.0,0.0,0.0,False,58.0,169.0
50403,Yousef Jaber,38.0,United Arab Emirates,False,Shabab Al Ahli Dubai,Defender,4.0,236.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media-4.api-sports.io/football/players/50403.png,https://media-4.api-sports.io/football/teams/2870.png,,0.0,0.0,0.0,False,74.0,181.0
50490,Tariq Ahmed,35.0,United Arab Emirates,False,Shabab Al Ahli Dubai,Midfielder,4.0,220.0,20.0,,24.0,,,,,,,2.0,1.0,,,,2.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/50490.png,https://media-4.api-sports.io/football/teams/2870.png,6.200000,1.0,0.0,0.0,False,62.0,171.0
