Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Weight_kg,Height_cm
402498,Sidnei,20,Brazil,False,Coritiba,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/402498.png,https://media-4.api-sports.io/football/teams/147.png,,0.0,0.0,0.0,False,,
402356,Felipe Motta,20,Brazil,False,Internacional,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media-4.api-sports.io/football/players/402356.png,https://media-4.api-sports.io/football/teams/119.png,,0.0,0.0,0.0,False,79.0,187.0
30756,Lucas Piazón,29,Brazil,False,Botafogo,Midfielder,1.0,18.0,6.0,,6.0,,,,,,,,,,,,1.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/30756.png,https://media-4.api-sports.io/football/teams/120.png,6.200000,0.0,0.0,0.0,False,75.0,182.0
9937,Ricardo Goulart,32,Brazil,False,Bahia,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/9937.png,https://media-4.api-sports.io/football/teams/118.png,,0.0,0.0,0.0,False,80.0,181.0
10408,Felipe Alves,35,Brazil,False,Sao Paulo,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media-4.api-sports.io/football/players/10408.png,https://media-4.api-sports.io/football/teams/126.png,,0.0,0.0,0.0,False,79.0,187.0
133182,Vitor Mendes,24,Brazil,False,Fluminense,Defender,2.0,107.0,27.0,1.0,61.0,1.0,1.0,,,,,1.0,1.0,1.0,,6.0,9.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/133182.png,https://media-4.api-sports.io/football/teams/124.png,6.950000,1.0,0.0,0.0,False,75.0,186.0
297507,Lucas Emmanuel,23,Brazil,False,Goias,Attacker,2.0,53.0,1.0,,8.0,,,,,,,3.0,,,1.0,2.0,9.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/297507.png,https://media-4.api-sports.io/football/teams/151.png,6.500000,0.0,0.0,0.0,False,84.0,185.0
305819,Kayky,20,Brazil,False,Bahia,Attacker,10.0,412.0,8.0,4.0,83.0,1.0,4.0,10.0,,4.0,1.0,5.0,,2.0,9.0,14.0,38.0,1.0,2.0,0.0,,https://media-4.api-sports.io/football/players/305819.png,https://media-4.api-sports.io/football/teams/118.png,6.637500,2.0,0.0,0.0,False,67.0,170.0
402003,Ronald Barcellos,21,Brazil,False,Gremio,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media-4.api-sports.io/football/players/402003.png,https://media-4.api-sports.io/football/teams/130.png,,0.0,0.0,0.0,False,,174.0
403692,Kennedy,19,Brazil,False,Bahia,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/403692.png,https://media-4.api-sports.io/football/teams/118.png,,0.0,0.0,0.0,False,62.0,169.0
701,Júnior Moraes,36,Ukraine,False,Corinthians,Attacker,1.0,0.0,,,,,,,,,1.0,,,,1.0,2.0,3.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/701.png,https://media-4.api-sports.io/football/teams/131.png,,0.0,0.0,0.0,False,70.0,176.0
9416,Eduardo Bauermann,27,Brazil,False,Santos,Defender,3.0,270.0,29.0,,106.0,2.0,6.0,1.0,,1.0,,3.0,4.0,6.0,1.0,12.0,21.0,,1.0,0.0,,https://media-4.api-sports.io/football/players/9416.png,https://media-4.api-sports.io/football/teams/128.png,7.266666,0.0,1.0,0.0,False,85.0,186.0
9650,Reinaldo,22,Brazil,False,Atletico Paranaense,Attacker,1.0,15.0,2.0,,2.0,,1.0,,,,,1.0,,,1.0,1.0,4.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/9650.png,https://media-4.api-sports.io/football/teams/134.png,6.700000,0.0,0.0,0.0,False,69.0,177.0
