Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Weight_kg,Height_cm
1154,S. Ilsanker,34.0,Austria,False,Genoa,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/1154.png,https://media-4.api-sports.io/football/teams/495.png,,0.0,0.0,0.0,False,85.0,189.0
105,F. Ballo-Touré,26.0,Senegal,False,AC Milan,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/105.png,https://media-4.api-sports.io/football/teams/489.png,,0.0,0.0,0.0,False,70.0,182.0
272,A. Rabiot,28.0,France,False,Juventus,Midfielder,8.0,720.0,36.0,9.0,326.0,7.0,12.0,18.0,,11.0,11.0,11.0,3.0,8.0,17.0,56.0,90.0,2.0,1.0,0.0,,https://media-4.api-sports.io/football/players/272.png,https://media-4.api-sports.io/football/teams/496.png,7.462500,4.0,0.0,0.0,False,72.0,188.0
1358,E. Elmas,24.0,North Macedonia,False,Napoli,Midfielder,5.0,86.0,9.0,3.0,51.0,1.0,1.0,5.0,,2.0,4.0,3.0,,,2.0,8.0,15.0,,0.0,0.0,,https://media-4.api-sports.io/football/players/1358.png,https://media-4.api-sports.io/football/teams/492.png,6.700000,1.0,0.0,0.0,False,68.0,182.0
2802,Y. Sommer,35.0,Switzerland,False,Inter,Goalkeeper,9.0,810.0,26.0,,275.0,,,,,,,,,,1.0,1.0,1.0,,0.0,5.0,19.0,https://media-4.api-sports.io/football/players/2802.png,https://media-4.api-sports.io/football/teams/505.png,7.044444,0.0,0.0,0.0,False,79.0,183.0
15713,L. Klitten,23.0,Denmark,False,Frosinone,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/15713.png,https://media-4.api-sports.io/football/teams/512.png,,0.0,0.0,0.0,False,70.0,193.0
30544,G. Scamacca,24.0,Italy,False,Atalanta,Attacker,5.0,222.0,9.0,2.0,68.0,3.0,10.0,12.0,,8.0,4.0,3.0,,1.0,,17.0,40.0,,2.0,0.0,,https://media-4.api-sports.io/football/players/30544.png,https://media-4.api-sports.io/football/teams/499.png,7.100000,0.0,0.0,0.0,False,85.0,196.0
30691,A. Mallamo,24.0,Italy,False,Atalanta,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/30691.png,https://media-4.api-sports.io/football/teams/499.png,,0.0,0.0,0.0,False,,174.0
31447,A. Anastasio,27.0,Italy,False,Monza,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/31447.png,https://media-4.api-sports.io/football/teams/1579.png,,0.0,0.0,0.0,False,,180.0
31613,R. Boultam,25.0,Netherlands,False,Salernitana,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media-4.api-sports.io/football/players/31613.png,https://media-4.api-sports.io/football/teams/514.png,,0.0,0.0,0.0,False,78.0,185.0
